21:59:38.246064 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 597:641, ack 576, win 938, options [nop,nop,TS val 2013080706 ecr 1967446214], length 44
21:59:40.269619 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 576:612, ack 641, win 501, options [nop,nop,TS val 1967448266 ecr 2013080706], length 36
21:59:40.306081 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 641:677, ack 612, win 938, options [nop,nop,TS val 2013082766 ecr 1967448266], length 36
21:59:42.006212 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 612:648, ack 677, win 501, options [nop,nop,TS val 1967450003 ecr 2013082766], length 36
21:59:42.073182 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 677:721, ack 648, win 938, options [nop,nop,TS val 2013084534 ecr 1967450003], length 44
21:59:43.643965 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 648:684, ack 721, win 501, options [nop,nop,TS val 1967451640 ecr 2013084534], length 36
21:59:43.684419 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 721:757, ack 684, win 938, options [nop,nop,TS val 2013086144 ecr 1967451640], length 36
21:59:45.693321 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 684:720, ack 757, win 501, options [nop,nop,TS val 1967453690 ecr 2013086144], length 36
21:59:45.729769 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 757:801, ack 720, win 938, options [nop,nop,TS val 2013088182 ecr 1967453690], length 44
22:00:26.448438 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 2505983398:2505983434, ack 925764517, win 501, options [nop,nop,TS val 1967494445 ecr 2013110855], length 36
22:00:26.548938 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 1:37, ack 36, win 938, options [nop,nop,TS val 2013129009 ecr 1967494445], length 36
22:00:27.677485 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 36:72, ack 37, win 501, options [nop,nop,TS val 1967495674 ecr 2013129009], length 36
22:00:27.776171 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 37:81, ack 72, win 938, options [nop,nop,TS val 2013130235 ecr 1967495674], length 44
22:00:28.905724 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 72:108, ack 81, win 501, options [nop,nop,TS val 1967496902 ecr 2013130235], length 36
22:00:29.005909 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 81:117, ack 108, win 938, options [nop,nop,TS val 2013131466 ecr 1967496902], length 36
22:00:30.032172 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 108:144, ack 117, win 501, options [nop,nop,TS val 1967498029 ecr 2013131466], length 36
22:00:30.131295 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 117:161, ack 144, win 938, options [nop,nop,TS val 2013132591 ecr 1967498029], length 44
22:00:31.364039 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 144:180, ack 161, win 501, options [nop,nop,TS val 1967499361 ecr 2013132591], length 36
22:00:31.462620 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 161:197, ack 180, win 938, options [nop,nop,TS val 2013133924 ecr 1967499361], length 36
22:00:32.694953 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 180:216, ack 197, win 501, options [nop,nop,TS val 1967500691 ecr 2013133924], length 36
22:00:32.793992 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 197:241, ack 216, win 938, options [nop,nop,TS val 2013135254 ecr 1967500691], length 44
22:00:33.924080 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 216:252, ack 241, win 501, options [nop,nop,TS val 1967501921 ecr 2013135254], length 36
22:00:34.024012 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 241:277, ack 252, win 938, options [nop,nop,TS val 2013136483 ecr 1967501921], length 36
22:00:35.152571 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 252:288, ack 277, win 501, options [nop,nop,TS val 1967503149 ecr 2013136483], length 36
22:00:35.251307 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 277:321, ack 288, win 938, options [nop,nop,TS val 2013137712 ecr 1967503149], length 44
22:00:36.380734 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 288:324, ack 321, win 501, options [nop,nop,TS val 1967504377 ecr 2013137712], length 36
22:00:36.479904 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 321:357, ack 324, win 938, options [nop,nop,TS val 2013138939 ecr 1967504377], length 36
22:00:37.712597 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 324:360, ack 357, win 501, options [nop,nop,TS val 1967505709 ecr 2013138939], length 36
22:00:37.825030 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 357:401, ack 360, win 938, options [nop,nop,TS val 2013140284 ecr 1967505709], length 44
22:00:38.940784 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 360:396, ack 401, win 501, options [nop,nop,TS val 1967506937 ecr 2013140284], length 36
22:00:39.040722 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 401:437, ack 396, win 938, options [nop,nop,TS val 2013141500 ecr 1967506937], length 36
22:00:40.127558 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 396:432, ack 437, win 501, options [nop,nop,TS val 1967508124 ecr 2013141500], length 36
22:00:40.227901 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 437:481, ack 432, win 938, options [nop,nop,TS val 2013142687 ecr 1967508124], length 44
22:00:41.428624 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 432:468, ack 481, win 501, options [nop,nop,TS val 1967509425 ecr 2013142687], length 36
22:00:41.527309 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 481:517, ack 468, win 938, options [nop,nop,TS val 2013143987 ecr 1967509425], length 36
22:00:42.832723 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 468:504, ack 517, win 501, options [nop,nop,TS val 1967510829 ecr 2013143987], length 36
22:00:42.934253 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 517:561, ack 504, win 938, options [nop,nop,TS val 2013145395 ecr 1967510829], length 44
22:00:44.163846 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 504:540, ack 561, win 501, options [nop,nop,TS val 1967512160 ecr 2013145395], length 36
22:00:44.264188 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 561:597, ack 540, win 938, options [nop,nop,TS val 2013146724 ecr 1967512160], length 36
22:00:45.290013 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 540:576, ack 597, win 501, options [nop,nop,TS val 1967513287 ecr 2013146724], length 36
22:00:45.388724 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 597:641, ack 576, win 938, options [nop,nop,TS val 2013147850 ecr 1967513287], length 44
22:00:46.519038 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 576:612, ack 641, win 501, options [nop,nop,TS val 1967514516 ecr 2013147850], length 36
22:00:46.622790 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 641:677, ack 612, win 938, options [nop,nop,TS val 2013149081 ecr 1967514516], length 36
22:00:47.850397 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 612:648, ack 677, win 501, options [nop,nop,TS val 1967515847 ecr 2013149081], length 36
22:00:47.948739 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 677:721, ack 648, win 938, options [nop,nop,TS val 2013150410 ecr 1967515847], length 44
22:00:48.874586 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 648:684, ack 721, win 501, options [nop,nop,TS val 1967516871 ecr 2013150410], length 36
22:00:48.974084 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 721:757, ack 684, win 938, options [nop,nop,TS val 2013151434 ecr 1967516871], length 36
22:00:50.512079 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 684:720, ack 757, win 501, options [nop,nop,TS val 1967518509 ecr 2013151434], length 36
22:00:50.611914 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 757:801, ack 720, win 938, options [nop,nop,TS val 2013153072 ecr 1967518509], length 44
22:02:37.010528 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 2505986970:2505987006, ack 925770393, win 501, options [nop,nop,TS val 1967625007 ecr 2013253459], length 36
22:02:37.135064 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 1:37, ack 36, win 938, options [nop,nop,TS val 2013259594 ecr 1967625007], length 36
22:02:39.060694 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 36:72, ack 37, win 501, options [nop,nop,TS val 1967627057 ecr 2013259594], length 36
22:02:39.184860 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 37:81, ack 72, win 938, options [nop,nop,TS val 2013261644 ecr 1967627057], length 44
