01:06:25.384241 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5358:5394, ack 2901, win 938, options [nop,nop,TS val 3826191825 ecr 1938689278], length 36
01:06:25.423850 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2901:2937, ack 5394, win 501, options [nop,nop,TS val 1938689348 ecr 3826191825], length 36
01:06:25.450874 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5394:5430, ack 2937, win 938, options [nop,nop,TS val 3826191891 ecr 1938689348], length 36
01:06:25.633522 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2937:2973, ack 5430, win 501, options [nop,nop,TS val 1938689558 ecr 3826191891], length 36
01:06:25.663021 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5430:5466, ack 2973, win 938, options [nop,nop,TS val 3826192103 ecr 1938689558], length 36
01:06:25.665076 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5466:5526, ack 2973, win 938, options [nop,nop,TS val 3826192105 ecr 1938689558], length 60
01:06:25.665127 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5526:5562, ack 2973, win 938, options [nop,nop,TS val 3826192106 ecr 1938689558], length 36
01:06:25.665209 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5562:5686, ack 2973, win 938, options [nop,nop,TS val 3826192106 ecr 1938689558], length 124
01:06:28.613051 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2973:3009, ack 5686, win 501, options [nop,nop,TS val 1938692537 ecr 3826192106], length 36
01:06:28.640863 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5686:5722, ack 3009, win 938, options [nop,nop,TS val 3826195081 ecr 1938692537], length 36
01:06:28.870833 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 3009:3045, ack 5722, win 501, options [nop,nop,TS val 1938692795 ecr 3826195081], length 36
01:06:28.900041 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 5722:5758, ack 3045, win 938, options [nop,nop,TS val 3826195341 ecr 1938692795], length 36
