00:34:54.493976 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 504:540, ack 733, win 501, options [nop,nop,TS val 1936798418 ecr 3824300166], length 36
00:34:54.523170 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 733:769, ack 540, win 938, options [nop,nop,TS val 3824300971 ecr 1936798418], length 36
00:34:54.801130 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 540:576, ack 769, win 501, options [nop,nop,TS val 1936798725 ecr 3824300971], length 36
00:34:54.827310 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 769:805, ack 576, win 938, options [nop,nop,TS val 3824301275 ecr 1936798725], length 36
00:34:54.954389 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 576:612, ack 805, win 501, options [nop,nop,TS val 1936798879 ecr 3824301275], length 36
00:34:54.981024 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 805:841, ack 612, win 938, options [nop,nop,TS val 3824301429 ecr 1936798879], length 36
00:34:55.722876 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 612:648, ack 841, win 501, options [nop,nop,TS val 1936799647 ecr 3824301429], length 36
00:34:55.749427 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 841:877, ack 648, win 938, options [nop,nop,TS val 3824302197 ecr 1936799647], length 36
00:34:56.132956 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 648:684, ack 877, win 501, options [nop,nop,TS val 1936800057 ecr 3824302197], length 36
00:34:56.161529 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 877:913, ack 684, win 938, options [nop,nop,TS val 3824302609 ecr 1936800057], length 36
00:34:56.747831 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 684:720, ack 913, win 501, options [nop,nop,TS val 1936800672 ecr 3824302609], length 36
00:34:56.777741 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 913:949, ack 720, win 938, options [nop,nop,TS val 3824303224 ecr 1936800672], length 36
00:34:56.851529 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 720:756, ack 949, win 501, options [nop,nop,TS val 1936800776 ecr 3824303224], length 36
00:34:56.879193 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 949:985, ack 756, win 938, options [nop,nop,TS val 3824303326 ecr 1936800776], length 36
00:34:57.156596 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 756:792, ack 985, win 501, options [nop,nop,TS val 1936801081 ecr 3824303326], length 36
00:34:57.184225 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 985:1021, ack 792, win 938, options [nop,nop,TS val 3824303633 ecr 1936801081], length 36
00:34:57.463987 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 792:828, ack 1021, win 501, options [nop,nop,TS val 1936801388 ecr 3824303633], length 36
00:34:57.490624 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1021:1057, ack 828, win 938, options [nop,nop,TS val 3824303939 ecr 1936801388], length 36
00:34:57.613455 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 828:864, ack 1057, win 501, options [nop,nop,TS val 1936801538 ecr 3824303939], length 36
00:34:57.640554 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1057:1093, ack 864, win 938, options [nop,nop,TS val 3824304089 ecr 1936801538], length 36
00:34:57.791574 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 864:900, ack 1093, win 501, options [nop,nop,TS val 1936801716 ecr 3824304089], length 36
