13:22:16.527730 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1165301945:1165301966, ack 275525665, win 502, options [nop,nop,TS val 4020095676 ecr 3037543441], length 21: SSH: SSH-2.0-OpenSSH_8.5
13:22:16.566755 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 1:42, ack 21, win 979, options [nop,nop,TS val 3037543481 ecr 4020095676], length 41: SSH: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.1
13:22:16.567246 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1469:1533, ack 42, win 502, options [nop,nop,TS val 4020095715 ecr 3037543481], length 64
13:22:16.596059 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 42:1098, ack 1469, win 957, options [nop,nop,TS val 3037543508 ecr 4020095715], length 1056
13:22:16.600619 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1533:1581, ack 1098, win 501, options [nop,nop,TS val 4020095749 ecr 3037543512], length 48
13:22:16.634451 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 1098:1534, ack 1581, win 956, options [nop,nop,TS val 3037543548 ecr 4020095749], length 436
13:22:16.649284 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1581:1597, ack 1534, win 501, options [nop,nop,TS val 4020095797 ecr 3037543548], length 16
13:22:16.720880 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1597:1641, ack 1534, win 501, options [nop,nop,TS val 4020095869 ecr 3037543633], length 44
13:22:16.750390 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 1534:1578, ack 1641, win 956, options [nop,nop,TS val 3037543663 ecr 4020095869], length 44
13:22:16.750545 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1641:1709, ack 1578, win 501, options [nop,nop,TS val 4020095899 ecr 3037543663], length 68
13:22:16.786927 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 1578:1622, ack 1709, win 955, options [nop,nop,TS val 3037543700 ecr 4020095899], length 44
13:22:16.790508 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1709:2361, ack 1622, win 501, options [nop,nop,TS val 4020095939 ecr 3037543700], length 652
13:22:16.827490 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 1622:1650, ack 2361, win 945, options [nop,nop,TS val 3037543741 ecr 4020095939], length 28
13:22:16.827755 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2361:2473, ack 1650, win 501, options [nop,nop,TS val 4020095976 ecr 3037543741], length 112
13:22:17.454839 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 1650:2426, ack 2473, win 944, options [nop,nop,TS val 3037544353 ecr 4020095976], length 776
13:22:17.542390 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 2426:2470, ack 2473, win 944, options [nop,nop,TS val 3037544456 ecr 4020096645], length 44
13:22:17.542647 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2473:2865, ack 2470, win 501, options [nop,nop,TS val 4020096691 ecr 3037544456], length 392
13:22:17.570784 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 2470:2578, ack 2865, win 938, options [nop,nop,TS val 3037544485 ecr 4020096691], length 108
13:22:17.570831 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 2578:2678, ack 2865, win 938, options [nop,nop,TS val 3037544485 ecr 4020096691], length 100
13:22:17.571552 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 2678:2826, ack 2865, win 938, options [nop,nop,TS val 3037544485 ecr 4020096691], length 148
13:22:17.571766 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 2826:2946, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 120
13:22:17.571798 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 2946:3102, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 156
13:22:17.571806 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 3102:3266, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 164
13:22:17.571812 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 3266:3370, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 104
13:22:17.573197 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 3370:3482, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 112
13:22:17.573230 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 3482:3622, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 140
13:22:17.573237 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 3622:3794, ack 2865, win 938, options [nop,nop,TS val 3037544486 ecr 4020096691], length 172
13:22:17.599393 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 3794:5234, ack 2865, win 938, options [nop,nop,TS val 3037544512 ecr 4020096719], length 1440
13:22:17.611317 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5234:5358, ack 2865, win 938, options [nop,nop,TS val 3037544526 ecr 4020096721], length 124
13:22:19.558569 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2865:2901, ack 5358, win 501, options [nop,nop,TS val 4020098707 ecr 3037544526], length 36
13:22:19.587522 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5358:5394, ack 2901, win 938, options [nop,nop,TS val 3037546500 ecr 4020098707], length 36
13:22:20.069988 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2901:2937, ack 5394, win 501, options [nop,nop,TS val 4020099218 ecr 3037546500], length 36
13:22:20.097686 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5394:5430, ack 2937, win 938, options [nop,nop,TS val 3037547011 ecr 4020099218], length 36
13:22:20.480059 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2937:2973, ack 5430, win 501, options [nop,nop,TS val 4020099628 ecr 3037547011], length 36
13:22:20.507523 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5430:5466, ack 2973, win 938, options [nop,nop,TS val 3037547421 ecr 4020099628], length 36
13:22:20.507574 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5466:5526, ack 2973, win 938, options [nop,nop,TS val 3037547422 ecr 4020099628], length 60
13:22:20.508058 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5526:5562, ack 2973, win 938, options [nop,nop,TS val 3037547422 ecr 4020099628], length 36
13:22:20.508126 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5562:5686, ack 2973, win 938, options [nop,nop,TS val 3037547423 ecr 4020099628], length 124
13:22:23.552351 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2973:3009, ack 5686, win 501, options [nop,nop,TS val 4020102700 ecr 3037547423], length 36
13:22:23.578783 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5686:5722, ack 3009, win 938, options [nop,nop,TS val 3037550492 ecr 4020102700], length 36
13:22:23.859269 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3009:3045, ack 5722, win 501, options [nop,nop,TS val 4020103007 ecr 3037550492], length 36
13:22:23.886579 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5722:5758, ack 3045, win 938, options [nop,nop,TS val 3037550800 ecr 4020103007], length 36
13:22:23.995785 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3045:3081, ack 5758, win 501, options [nop,nop,TS val 4020103144 ecr 3037550800], length 36
13:22:24.022593 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5758:5794, ack 3081, win 938, options [nop,nop,TS val 3037550936 ecr 4020103144], length 36
13:22:24.082642 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3081:3117, ack 5794, win 501, options [nop,nop,TS val 4020103231 ecr 3037550936], length 36
13:22:24.110214 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5794:5830, ack 3117, win 938, options [nop,nop,TS val 3037551024 ecr 4020103231], length 36
13:22:24.200267 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3117:3153, ack 5830, win 501, options [nop,nop,TS val 4020103348 ecr 3037551024], length 36
13:22:24.227463 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5830:5866, ack 3153, win 938, options [nop,nop,TS val 3037551141 ecr 4020103348], length 36
13:22:24.370651 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3153:3189, ack 5866, win 501, options [nop,nop,TS val 4020103519 ecr 3037551141], length 36
13:22:24.398983 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5866:5902, ack 3189, win 938, options [nop,nop,TS val 3037551312 ecr 4020103519], length 36
13:22:24.441215 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3189:3225, ack 5902, win 501, options [nop,nop,TS val 4020103589 ecr 3037551312], length 36
13:22:24.468927 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5902:5938, ack 3225, win 938, options [nop,nop,TS val 3037551382 ecr 4020103589], length 36
13:22:24.566283 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3225:3261, ack 5938, win 501, options [nop,nop,TS val 4020103714 ecr 3037551382], length 36
13:22:24.597457 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5938:5974, ack 3261, win 938, options [nop,nop,TS val 3037551510 ecr 4020103714], length 36
13:22:24.676335 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3261:3297, ack 5974, win 501, options [nop,nop,TS val 4020103824 ecr 3037551510], length 36
13:22:24.702898 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 5974:6010, ack 3297, win 938, options [nop,nop,TS val 3037551617 ecr 4020103824], length 36
13:22:24.985406 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3297:3333, ack 6010, win 501, options [nop,nop,TS val 4020104133 ecr 3037551617], length 36
13:22:25.013222 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6010:6046, ack 3333, win 938, options [nop,nop,TS val 3037551926 ecr 4020104133], length 36
13:22:25.190663 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3333:3369, ack 6046, win 501, options [nop,nop,TS val 4020104339 ecr 3037551926], length 36
13:22:25.219819 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6046:6082, ack 3369, win 938, options [nop,nop,TS val 3037552132 ecr 4020104339], length 36
13:22:25.219873 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6082:6118, ack 3369, win 938, options [nop,nop,TS val 3037552134 ecr 4020104339], length 36
13:22:25.219883 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6118:6242, ack 3369, win 938, options [nop,nop,TS val 3037552134 ecr 4020104339], length 124
13:22:28.365196 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3369:3405, ack 6242, win 501, options [nop,nop,TS val 4020107513 ecr 3037552134], length 36
13:22:28.393230 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6242:6278, ack 3405, win 938, options [nop,nop,TS val 3037555306 ecr 4020107513], length 36
13:22:28.509652 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3405:3441, ack 6278, win 501, options [nop,nop,TS val 4020107658 ecr 3037555306], length 36
13:22:28.537728 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6278:6314, ack 3441, win 938, options [nop,nop,TS val 3037555450 ecr 4020107658], length 36
13:22:28.563799 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3441:3477, ack 6314, win 501, options [nop,nop,TS val 4020107712 ecr 3037555450], length 36
13:22:28.591683 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6314:6350, ack 3477, win 938, options [nop,nop,TS val 3037555504 ecr 4020107712], length 36
13:22:28.662459 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3477:3513, ack 6350, win 501, options [nop,nop,TS val 4020107811 ecr 3037555504], length 36
13:22:28.691657 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6350:6386, ack 3513, win 938, options [nop,nop,TS val 3037555604 ecr 4020107811], length 36
13:22:28.743494 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3513:3549, ack 6386, win 501, options [nop,nop,TS val 4020107892 ecr 3037555604], length 36
13:22:28.770172 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6386:6422, ack 3549, win 938, options [nop,nop,TS val 3037555684 ecr 4020107892], length 36
13:22:28.978940 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3549:3585, ack 6422, win 501, options [nop,nop,TS val 4020108127 ecr 3037555684], length 36
13:22:29.006791 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6422:6458, ack 3585, win 938, options [nop,nop,TS val 3037555920 ecr 4020108127], length 36
13:22:29.063819 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3585:3621, ack 6458, win 501, options [nop,nop,TS val 4020108212 ecr 3037555920], length 36
13:22:29.090764 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6458:6494, ack 3621, win 938, options [nop,nop,TS val 3037556004 ecr 4020108212], length 36
13:22:29.593720 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3621:3657, ack 6494, win 501, options [nop,nop,TS val 4020108742 ecr 3037556004], length 36
13:22:29.620974 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6494:6618, ack 3657, win 938, options [nop,nop,TS val 3037556534 ecr 4020108742], length 124
13:22:30.003698 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3657:3693, ack 6618, win 501, options [nop,nop,TS val 4020109152 ecr 3037556534], length 36
13:22:30.030192 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56906: Flags [P.], seq 6618:6654, ack 3693, win 938, options [nop,nop,TS val 3037556944 ecr 4020109152], length 36
13:22:30.176054 IP archlinux.56906 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3693:3729, ack 6654, win 501, options [nop,nop,TS val 4020109324 ecr 3037556944], length 36
