13:31:02.376943 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2170939143:2170939164, ack 1913530389, win 502, options [nop,nop,TS val 4020621525 ecr 3038069288], length 21: SSH: SSH-2.0-OpenSSH_8.5
13:31:02.413660 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56912: Flags [P.], seq 1:42, ack 21, win 979, options [nop,nop,TS val 3038069325 ecr 4020621525], length 41: SSH: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.1
13:31:02.414123 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1469:1533, ack 42, win 502, options [nop,nop,TS val 4020621562 ecr 3038069325], length 64
13:31:02.441650 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56912: Flags [P.], seq 42:1098, ack 1533, win 956, options [nop,nop,TS val 3038069352 ecr 4020621562], length 1056
13:31:02.446098 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1533:1581, ack 1098, win 501, options [nop,nop,TS val 4020621594 ecr 3038069356], length 48
13:31:02.479345 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56912: Flags [P.], seq 1098:1534, ack 1581, win 956, options [nop,nop,TS val 3038069389 ecr 4020621594], length 436
13:31:02.493702 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1581:1597, ack 1534, win 501, options [nop,nop,TS val 4020621642 ecr 3038069389], length 16
13:31:02.562491 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1597:1641, ack 1534, win 501, options [nop,nop,TS val 4020621711 ecr 3038069473], length 44
13:31:02.591015 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56912: Flags [P.], seq 1534:1578, ack 1641, win 956, options [nop,nop,TS val 3038069502 ecr 4020621711], length 44
13:31:02.591158 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1641:1709, ack 1578, win 501, options [nop,nop,TS val 4020621739 ecr 3038069502], length 68
13:31:02.624045 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56912: Flags [P.], seq 1578:1622, ack 1709, win 955, options [nop,nop,TS val 3038069536 ecr 4020621739], length 44
13:31:02.627622 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1709:2361, ack 1622, win 501, options [nop,nop,TS val 4020621776 ecr 3038069536], length 652
13:31:02.661532 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56912: Flags [P.], seq 1622:1650, ack 2361, win 945, options [nop,nop,TS val 3038069573 ecr 4020621776], length 28
13:31:02.661756 IP archlinux.56912 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2361:2473, ack 1650, win 501, options [nop,nop,TS val 4020621810 ecr 3038069573], length 112
