13:39:20.428932 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5358:5402, ack 2909, win 938, options [nop,nop,TS val 3038567337 ecr 4021119547], length 44
13:39:21.013798 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2909:2953, ack 5402, win 501, options [nop,nop,TS val 4021120162 ecr 3038567337], length 44
13:39:21.041371 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5402:5470, ack 2953, win 938, options [nop,nop,TS val 3038567950 ecr 4021120162], length 68
13:39:21.730689 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2953:2997, ack 5470, win 501, options [nop,nop,TS val 4021120879 ecr 3038567950], length 44
13:39:21.760974 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5470:5594, ack 2997, win 938, options [nop,nop,TS val 3038568667 ecr 4021120879], length 124
13:39:22.447531 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2997:3041, ack 5594, win 501, options [nop,nop,TS val 4021121596 ecr 3038568667], length 44
13:39:22.500854 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5594:5662, ack 3041, win 938, options [nop,nop,TS val 3038569409 ecr 4021121596], length 68
13:39:25.723685 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3041:3085, ack 5662, win 501, options [nop,nop,TS val 4021124872 ecr 3038569409], length 44
13:39:25.752246 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5662:5786, ack 3085, win 938, options [nop,nop,TS val 3038572660 ecr 4021124872], length 124
13:39:26.235948 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3085:3129, ack 5786, win 501, options [nop,nop,TS val 4021125384 ecr 3038572660], length 44
13:39:26.264140 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5786:5854, ack 3129, win 938, options [nop,nop,TS val 3038573173 ecr 4021125384], length 68
13:39:27.055198 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3129:3173, ack 5854, win 501, options [nop,nop,TS val 4021126203 ecr 3038573173], length 44
13:39:27.080691 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5854:5978, ack 3173, win 938, options [nop,nop,TS val 3038573990 ecr 4021126203], length 124
13:39:27.184973 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3173:3217, ack 5978, win 501, options [nop,nop,TS val 4021126333 ecr 3038573990], length 44
13:39:27.212029 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 5978:6022, ack 3217, win 938, options [nop,nop,TS val 3038574121 ecr 4021126333], length 44
13:39:27.670824 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3217:3261, ack 6022, win 501, options [nop,nop,TS val 4021126819 ecr 3038574121], length 44
13:39:27.702535 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6022:6066, ack 3261, win 938, options [nop,nop,TS val 3038574610 ecr 4021126819], length 44
13:39:27.715886 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3261:3305, ack 6066, win 501, options [nop,nop,TS val 4021126864 ecr 3038574610], length 44
13:39:27.743606 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6066:6134, ack 3305, win 938, options [nop,nop,TS val 3038574651 ecr 4021126864], length 68
13:39:32.994602 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3305:3341, ack 6134, win 501, options [nop,nop,TS val 4021132143 ecr 3038574651], length 36
13:39:33.021293 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6134:6170, ack 3341, win 938, options [nop,nop,TS val 3038579930 ecr 4021132143], length 36
13:39:34.428041 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6170:6318, ack 3341, win 938, options [nop,nop,TS val 3038581317 ecr 4021132169], length 148
13:39:34.428253 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6318:6546, ack 3341, win 938, options [nop,nop,TS val 3038581318 ecr 4021132169], length 228
13:39:34.428376 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6546:6686, ack 3341, win 938, options [nop,nop,TS val 3038581318 ecr 4021132169], length 140
13:39:34.475831 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 6686:7306, ack 3341, win 938, options [nop,nop,TS val 3038581384 ecr 4021133576], length 620
13:39:35.969305 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3341:3385, ack 7306, win 501, options [nop,nop,TS val 4021135117 ecr 3038581384], length 44
13:39:36.064695 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7306:7350, ack 3385, win 938, options [nop,nop,TS val 3038582973 ecr 4021135117], length 44
13:39:36.578390 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3385:3429, ack 7350, win 501, options [nop,nop,TS val 4021135726 ecr 3038582973], length 44
13:39:36.672505 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7350:7426, ack 3429, win 938, options [nop,nop,TS val 3038583581 ecr 4021135726], length 76
