79143.810103	0
79146.779377	1
79149.340003	2
79152.309016	3
79154.971782	4
79157.633911	5
79160.194633	6
79162.242638	7
79164.188301	8
79166.338151	9
79167.976816	10
79169.922898	11
79171.663608	12
79174.22367	13
79176.168969	14
79178.217227	15
79180.269619	16
79182.006212	17
79183.643965	18
79185.693321	19
79226.448438	20
79227.677485	21
79228.905724	22
79230.032172	23
79231.364039	24
79232.694953	25
79233.92408	26
79235.152571	27
79236.380734	28
79237.712597	29
79238.940784	30
79240.127558	31
79241.428624	32
79242.832723	33
79244.163846	34
79245.290013	35
79246.519038	36
79247.850397	37
79248.874586	38
79250.512079	39
79357.010528	40
79359.060694	41
79360.901499	42
79363.358619	43
79364.997559	44
79366.768499	45
79368.376867	46
79370.424977	47
79372.063309	48
79374.215158	49
79375.954172	50
79378.105033	51
79379.641049	52
79381.791483	53
79383.430982	54
79385.068675	55
79387.730817	56
79389.163825	57
79391.31504	58
79393.259941	59
