79143.837044	0
79146.808394	1
79149.366864	2
79152.337691	3
79155.000219	4
79157.659895	5
79160.223194	6
79162.269313	7
79164.218956	8
79166.367154	9
79168.003248	10
79169.950629	11
79171.691848	12
79174.255324	13
79176.196572	14
79178.246064	15
79180.306081	16
79182.073182	17
79183.684419	18
79185.729769	19
79226.548938	20
79227.776171	21
79229.005909	22
79230.131295	23
79231.46262	24
79232.793992	25
79234.024012	26
79235.251307	27
79236.479904	28
79237.82503	29
79239.040722	30
79240.227901	31
79241.527309	32
79242.934253	33
79244.264188	34
79245.388724	35
79246.62279	36
79247.948739	37
79248.974084	38
79250.611914	39
79357.135064	40
79359.18486	41
79361.023784	42
79363.482717	43
79365.123162	44
79366.893154	45
79368.5009	46
79370.552333	47
79372.185644	48
79374.340861	49
79376.076548	50
79378.231063	51
79379.765623	52
79381.915394	53
79383.556471	54
79385.19402	55
79387.855369	56
79389.287724	57
79391.438771	58
79393.381797	59
